# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

147.102.13.49	dimitra.netmode.ece.ntua.gr
147.102.13.210	dhcp-210.netmode.ece.ntua.gr
147.102.13.115	bigshow.netmode.ece.ntua.gr
147.102.13.20	blondie.netmode.ece.ntua.gr
147.102.13.181	cookie06.netmode.ece.ntua.gr
147.102.13.86	maglaris-dell2.netmode.ece.ntua.gr
147.102.13.247	cyclops-man.netmode.ece.ntua.gr
147.102.13.57	yoda.netmode.ece.ntua.gr
147.102.13.218	dhcp-218.netmode.ece.ntua.gr
147.102.13.123	gn3-jra2.netmode.ece.ntua.gr
147.102.13.28	cretino.netmode.ece.ntua.gr
147.102.13.65	dhcp-65.netmode.ece.ntua.gr
147.102.13.131	dhcp-131.netmode.ece.ntua.gr
147.102.13.36	kalfas.netmode.ece.ntua.gr
147.102.13.102	vm-laser.netmode.ece.ntua.gr
147.102.13.7	potis.netmode.ece.ntua.gr
147.102.13.73	dhcp-73.netmode.ece.ntua.gr
147.102.13.234	test1.netmode.ece.ntua.gr
194.177.210.211	foo.grnet.gr
147.102.13.139	dhcp-139.netmode.ece.ntua.gr
147.102.13.44	grid4.netmode.ece.ntua.gr
147.102.13.15	frog.netmode.ece.ntua.gr
147.102.13.176	idomeneas.netmode.ece.ntua.gr
147.102.13.81	eestec.netmode.ece.ntua.gr
147.102.13.242	xavier-man.netmode.ece.ntua.gr
147.102.13.147	vnode1.netmode.ece.ntua.gr
147.102.13.52	asterix.netmode.ece.ntua.gr
139.91.191.3	estia.ics.forth.gr
147.102.13.213	dhcp-213.netmode.ece.ntua.gr
147.102.13.118	ubumon.netmode.ece.ntua.gr
147.102.13.23	stranger.netmode.ece.ntua.gr
147.102.13.184	cookie09.netmode.ece.ntua.gr
147.102.13.89	bob.netmode.ece.ntua.gr
147.102.13.250	hp-sw.netmode.ece.ntua.gr
147.102.13.60	matrix.netmode.ece.ntua.gr
147.102.13.126	vFreebsd.netmode.ece.ntua.gr
147.102.13.31	redicolo.netmode.ece.ntua.gr
147.102.13.2	vento.netmode.ece.ntua.gr
147.102.13.68	dhcp-68.netmode.ece.ntua.gr
147.102.13.134	dhcp-134.netmode.ece.ntua.gr
147.102.13.39	yankee.netmode.ece.ntua.gr
147.102.13.200	router.netmode.ece.ntua.gr
147.102.13.10	dolly.netmode.ece.ntua.gr
147.102.13.171	marypc.netmode.ece.ntua.gr
127.0.0.1	localhost.netmode.ece.ntua.gr
147.102.13.76	dhcp-76.netmode.ece.ntua.gr
147.102.13.237	repository.netmode.ece.ntua.gr
147.102.13.142	storm-man.netmode.ece.ntua.gr
147.102.13.47	vm-office.netmode.ece.ntua.gr
147.102.13.113	pc-maglaris-lab.netmode.ece.ntua.gr
147.102.13.18	mindport.netmode.ece.ntua.gr
147.102.13.179	sorch.netmode.ece.ntua.gr
147.102.13.84	maglaris-dell.netmode.ece.ntua.gr
147.102.13.245	magneto.netmode.ece.ntua.gr
147.102.13.55	imeros.netmode.ece.ntua.gr
147.102.13.216	dhcp-216.netmode.ece.ntua.gr
147.102.13.121	efipsans.netmode.ece.ntua.gr
147.102.13.26	sheep.netmode.ece.ntua.gr
195.134.100.100	olympus.noc.uoa.gr
147.102.13.92	elena.netmode.ece.ntua.gr
147.102.13.253	dolly-man.netmode.ece.ntua.gr
147.102.13.63	dhcp-63.netmode.ece.ntua.gr
147.102.13.129	skywalker.netmode.ece.ntua.gr
147.102.13.34	spiuno.netmode.ece.ntua.gr
147.102.13.100	donald.netmode.ece.ntua.gr
147.102.13.5	camera.netmode.ece.ntua.gr
147.102.13.166	inhambane.netmode.ece.ntua.gr
147.102.13.71	dhcp-71.netmode.ece.ntua.gr
147.102.13.232	pdu0.netmode.ece.ntua.gr
200.160.7.163	grdns-br.ics.forth.gr
147.102.13.137	dhcp-137.netmode.ece.ntua.gr
147.102.13.42	grid2.netmode.ece.ntua.gr
193.171.255.40	grdns-at.ics.forth.gr
147.102.13.108	hermes.netmode.ece.ntua.gr
147.102.13.13	tv.netmode.ece.ntua.gr
147.102.13.174	ramanujan.netmode.ece.ntua.gr
147.102.13.79	dhcp-79.netmode.ece.ntua.gr
147.102.13.240	hulk-man.netmode.ece.ntua.gr
147.102.13.145	vmyplc.netmode.ece.ntua.gr
147.102.13.50	bagioris.netmode.ece.ntua.gr
147.102.13.211	dhcp-211.netmode.ece.ntua.gr
147.102.13.116	ava.netmode.ece.ntua.gr
147.102.13.21	sensor.netmode.ece.ntua.gr
147.102.13.182	cookie07.netmode.ece.ntua.gr
147.102.13.87	macbook.netmode.ece.ntua.gr
147.102.222.230	ulysses.noc.ntua.gr
147.102.13.248	space.netmode.ece.ntua.gr
147.102.13.58	platon.netmode.ece.ntua.gr
147.102.13.219	dhcp-219.netmode.ece.ntua.gr
147.102.13.124	copier.netmode.ece.ntua.gr
147.102.13.29	mafioso.netmode.ece.ntua.gr
147.102.13.0	net.netmode.ece.ntua.gr
147.102.13.66	dhcp-66.netmode.ece.ntua.gr
147.102.13.132	dhcp-132.netmode.ece.ntua.gr
147.102.13.37	niobe.netmode.ece.ntua.gr
147.102.13.103	dell5330.netmode.ece.ntua.gr
147.102.13.8	zizou.netmode.ece.ntua.gr
147.102.13.169	casanova.netmode.ece.ntua.gr
147.102.13.74	dhcp-74.netmode.ece.ntua.gr
147.102.13.235	test2.netmode.ece.ntua.gr
147.102.13.140	batman.netmode.ece.ntua.gr
199.4.28.219	gr-us.ics.forth.gr
147.102.13.45	grid5.netmode.ece.ntua.gr
147.102.13.111	ithaki.netmode.ece.ntua.gr
147.102.13.16	mitsos.netmode.ece.ntua.gr
147.102.13.177	attalea.netmode.ece.ntua.gr
147.102.13.82	spiderman.netmode.ece.ntua.gr
83.212.8.130	gr-aix.ics.forth.gr
147.102.13.243	xavier.netmode.ece.ntua.gr
147.102.13.148	vnode2.netmode.ece.ntua.gr
194.0.4.10	gr-m.ics.forth.gr
147.102.13.214	dhcp-214.netmode.ece.ntua.gr
147.102.13.119	matlab.netmode.ece.ntua.gr
147.102.13.24	vcr.netmode.ece.ntua.gr
147.102.13.185	cookie10.netmode.ece.ntua.gr
147.102.13.90	vc.netmode.ece.ntua.gr
147.102.13.251	juniper-sw.netmode.ece.ntua.gr
147.102.13.61	dhcp-61.netmode.ece.ntua.gr
147.102.13.127	vUbuntu.netmode.ece.ntua.gr
147.102.13.32	pc-maglaris.netmode.ece.ntua.gr
147.102.13.3	black.netmode.ece.ntua.gr
147.102.13.69	dhcp-69.netmode.ece.ntua.gr
147.102.13.230	wolverine-man.netmode.ece.ntua.gr
147.102.13.135	dhcp-135.netmode.ece.ntua.gr
147.102.13.40	lexmark.netmode.ece.ntua.gr
147.102.13.106	mainalo.netmode.ece.ntua.gr
147.102.13.11	eleni.netmode.ece.ntua.gr
147.102.13.172	mary-laptop.netmode.ece.ntua.gr
147.102.13.77	dhcp-77.netmode.ece.ntua.gr
147.102.13.238	kdc.netmode.ece.ntua.gr
147.102.222.220	diomedes.noc.ntua.gr
147.102.13.143	mariana.netmode.ece.ntua.gr
147.102.13.48	yiannos-netmode.netmode.ece.ntua.gr
147.102.13.114	egee.netmode.ece.ntua.gr
147.102.13.19	maria.netmode.ece.ntua.gr
147.102.13.180	debmon.netmode.ece.ntua.gr
147.102.13.85	dragon.netmode.ece.ntua.gr
